AGE,FG3M,FTM,FTA,OREB,TOV,STL,BLK,BLKA,PFD,DD2_RANK,TD3_RANK,All_Star_Selection
0.083333,0.09434,0.098039,0.105691,0.109091,0.175439,0.133333,0.081081,0.095238,0.173469,0.835206,0.666667,0
0.791667,0.113208,0.264706,0.260163,0.181818,0.298246,0.266667,0.108108,0.238095,0.316327,0.411985,0.666667,0
0.083333,0,0.176471,0.235772,0.563636,0.175439,0.4,0.162162,0.428571,0.234694,0.11985,0.666667,0
0.208333,0.075472,0.04902,0.04878,0.036364,0.175439,0.1,0.027027,0.095238,0.081633,0.835206,0.666667,0
0.375,0,0.264706,0.300813,0.2,0.175439,0.133333,0.027027,0.190476,0.285714,0.479401,0.666667,0
0.208333,0,0.039216,0.065041,0.018182,0.035088,0.033333,0.081081,0,0.061224,0.835206,0.666667,0
0.291667,0,0.04902,0.056911,0.145455,0.070175,0.033333,0.108108,0.142857,0.05102,0.674157,0.666667,0
0.208333,0,0.039216,0.056911,0.090909,0.070175,0.066667,0.081081,0.095238,0.071429,0.835206,0.666667,0
0.125,0,0,0,0,0,0,0,0,0,0.835206,0.666667,1
0.541667,0.301887,0.127451,0.154472,0.109091,0.280702,0.3,0.108108,0.095238,0.163265,0.344569,0.153846,0
0.166667,0.188679,0.04902,0.056911,0.054545,0.105263,0.1,0.027027,0.095238,0.05102,0.835206,0.666667,0
0.291667,0,0.029412,0.04878,0.145455,0.087719,0.1,0.108108,0.095238,0.091837,0.835206,0.666667,0
0.208333,0,0.107843,0.121951,0.145455,0.070175,0.1,0.081081,0.047619,0.122449,0.674157,0.666667,0
0.333333,0,0.107843,0.138211,0.2,0.105263,0.033333,0.027027,0.190476,0.163265,0.674157,0.666667,0
0.583333,0,0.019608,0.03252,0.054545,0.052632,0.133333,0.027027,0.095238,0.030612,0.835206,0.666667,0
0.125,0.018868,0.029412,0.04065,0.036364,0.140351,0.133333,0,0.047619,0.081633,0.835206,0.666667,0
0.333333,0.150943,0.156863,0.154472,0.072727,0.298246,0.133333,0,0.238095,0.244898,0.479401,0.666667,0
0.125,0,0.303922,0.373984,0.490909,0.385965,0.2,0.189189,0.666667,0.326531,0.067416,0.666667,0
0.333333,0.283019,0.186275,0.178862,0.018182,0.157895,0.166667,0.027027,0.047619,0.183673,0.835206,0.666667,0
0.25,0.301887,0.205882,0.227642,0.109091,0.22807,0.4,0.054054,0.190476,0.244898,0.573034,0.666667,0
0.166667,0,0.166667,0.235772,0.509091,0.22807,0.166667,0.648649,0.238095,0.265306,0.11985,0.153846,0
0.583333,0,0.04902,0.081301,0.163636,0.052632,0.066667,0.027027,0.047619,0.081633,0.835206,0.666667,0
0.5,0.301887,0.284314,0.276423,0.054545,0.333333,0.266667,0.054054,0.238095,0.22449,0.835206,0.666667,0
0.5,0.113208,0.029412,0.02439,0.072727,0.070175,0.166667,0.162162,0.047619,0.030612,0.835206,0.666667,0
0.416667,0.301887,0.166667,0.170732,0.090909,0.45614,0.333333,0,0.238095,0.214286,0.411985,0.666667,0
0.125,0.132075,0.04902,0.056911,0.018182,0.087719,0.033333,0.054054,0.095238,0.071429,0.835206,0.666667,0
0.083333,0.264151,0.343137,0.341463,0.090909,0.22807,0.366667,0.081081,0.285714,0.316327,0.835206,0.666667,0
0.208333,0.037736,0.117647,0.154472,0.181818,0.298246,0.3,0.27027,0.190476,0.122449,0.835206,0.666667,0
0.458333,0.283019,0.068627,0.073171,0.054545,0.052632,0.133333,0.054054,0,0.102041,0.835206,0.666667,0
0.625,0.264151,0.019608,0.02439,0.036364,0.087719,0.166667,0.027027,0,0.091837,0.835206,0.666667,0
0.25,0.245283,0.196078,0.219512,0.254545,0.157895,0.366667,0.054054,0.190476,0.214286,0.573034,0.666667,0
0.416667,0,0.029412,0.056911,0.272727,0.087719,0.233333,0.108108,0.095238,0.102041,0.835206,0.666667,0
0.333333,0.075472,0.215686,0.211382,0.036364,0.22807,0.233333,0.027027,0.238095,0.22449,0.835206,0.666667,0
0.541667,0,0.029412,0.03252,0.090909,0.052632,0.033333,0,0.095238,0.081633,0.835206,0.666667,0
0.541667,0,0.058824,0.065041,0.109091,0.087719,0.066667,0.054054,0.095238,0.142857,0.835206,0.666667,0
0.458333,0,0,0.00813,0.018182,0.017544,0.033333,0,0.047619,0.010204,0.835206,0.666667,0
0.791667,0.320755,0.078431,0.081301,0.072727,0.385965,0.566667,0.108108,0.095238,0.102041,0.247191,0.102564,0
0.375,0,0.088235,0.138211,0.218182,0.140351,0.133333,0.108108,0.238095,0.153061,0.835206,0.666667,0
0.458333,0.45283,0.147059,0.162602,0.145455,0.210526,0.4,0.054054,0.190476,0.153061,0.674157,0.666667,0
0.25,0,0.078431,0.073171,0.218182,0.122807,0.1,0.108108,0.095238,0.081633,0.835206,0.666667,0
0.583333,0.283019,0.215686,0.211382,0.054545,0.350877,0.366667,0.054054,0.285714,0.22449,0.674157,0.666667,0
0.208333,0,0.156863,0.219512,0.345455,0.22807,0.133333,0.162162,0.285714,0.255102,0.247191,0.666667,0
0.666667,0.075472,0,0,0.018182,0.122807,0.133333,0,0,0.010204,0.835206,0.666667,0
0.375,0.09434,0.029412,0.04065,0.054545,0.105263,0.1,0.027027,0.142857,0.061224,0.835206,0.666667,0
0.25,0,0.04902,0.065041,0.181818,0.070175,0.066667,0.054054,0.285714,0.081633,0.835206,0.666667,0
0.625,0,0.04902,0.073171,0.527273,0.087719,0.133333,0.162162,0.142857,0.132653,0.835206,0.666667,0
0.208333,0.169811,0.254902,0.268293,0.181818,0.22807,0.233333,0.135135,0.238095,0.255102,0.411985,0.666667,0
0.166667,0.056604,0.107843,0.113821,0.036364,0.157895,0.2,0.108108,0.238095,0.112245,0.835206,0.666667,0
0.166667,0,0.04902,0.065041,0.127273,0.070175,0.1,0.081081,0.047619,0.071429,0.835206,0.666667,0
0.125,0,0.068627,0.073171,0.072727,0.105263,0.366667,0.081081,0.142857,0.112245,0.835206,0.666667,0
0.541667,0,0.117647,0.146341,0.181818,0.192982,0.033333,0.351351,0.142857,0.183673,0.674157,0.666667,0
0.208333,0.075472,0.058824,0.065041,0.145455,0.245614,0.133333,0.027027,0.285714,0.102041,0.835206,0.666667,0
0.708333,0.018868,0.068627,0.081301,0.018182,0.052632,0,0.081081,0.142857,0.061224,0.835206,0.666667,0
0.125,0.132075,0.22549,0.235772,0.072727,0.315789,0.166667,0.027027,0.285714,0.244898,0.573034,0.666667,0
0.291667,0,0.284314,0.317073,0.690909,0.333333,0.333333,0.405405,0.47619,0.316327,0.11985,0.666667,0
0.166667,0.358491,0.205882,0.186992,0.054545,0.140351,0.3,0.027027,0.190476,0.163265,0.835206,0.666667,0
0.458333,0.226415,0.264706,0.276423,0.145455,0.350877,0.233333,0.027027,0.333333,0.285714,0.573034,0.666667,0
0.666667,0,0.009804,0.00813,0.036364,0.052632,0,0.081081,0.047619,0.030612,0.835206,0.666667,0
0.375,0,0.058824,0.081301,0.254545,0.087719,0.033333,0.324324,0.095238,0.091837,0.835206,0.666667,0
0.5,0,0.039216,0.065041,0.181818,0.140351,0.033333,0.108108,0.095238,0.102041,0.835206,0.666667,0
0.333333,0,0.068627,0.121951,0.327273,0.157895,0.2,0.108108,0.142857,0.102041,0.411985,0.666667,0
0.416667,0.037736,0.068627,0.073171,0.036364,0.122807,0.066667,0.054054,0.095238,0.102041,0.835206,0.666667,0
0.25,0,0.019608,0.03252,0.145455,0.105263,0.133333,0.108108,0,0.05102,0.835206,0.666667,0
0.375,0,0,0.081301,0,0,0,0,0,0.05102,0.835206,0.666667,1
0.5,0.207547,0.264706,0.268293,0.072727,0.333333,0.333333,0.108108,0.380952,0.27551,0.674157,0.666667,0
0.041667,0.09434,0.431373,0.463415,0.090909,0.666667,0.6,0.135135,0.571429,0.479592,0.089888,0.153846,0
