AGE,W,L,FG3A,OREB,DREB,TOV,PF,PFD,PLUS_MINUS,TD3_RANK,All_Star_Selection
0.166667,0.547945,0.478873,0.356061,0.054545,0.175439,0.140351,0.216667,0.163265,0.543441,0.666667,0
0.458333,0.520548,0.478873,0.318182,0.145455,0.280702,0.350877,0.3,0.285714,0.543441,0.666667,0
0.666667,0.191781,0.028169,0,0.036364,0.096491,0.052632,0.133333,0.030612,0.512777,0.666667,0
0.375,0.753425,0.28169,0,0.254545,0.192982,0.087719,0.433333,0.091837,0.550256,0.666667,0
0.5,0.246575,0.253521,0,0.181818,0.263158,0.140351,0.366667,0.102041,0.487223,0.666667,0
0.333333,0.150685,0.450704,0,0.327273,0.22807,0.157895,0.3,0.102041,0.517888,0.666667,0
0.416667,0.123288,0.422535,0.060606,0.036364,0.166667,0.122807,0.316667,0.102041,0.488927,0.666667,0
0.25,0.30137,0.774648,0.007576,0.145455,0.166667,0.105263,0.383333,0.05102,0.488927,0.666667,0
0.375,0.013699,0.014085,0.037879,0,0,0,0,0.05102,0.497445,0.666667,1
0.5,0.410959,0.605634,0.227273,0.072727,0.289474,0.333333,0.366667,0.27551,0.50937,0.666667,0
0.041667,0.260274,0.704225,0.128788,0.090909,0.359649,0.666667,0.416667,0.479592,0.413969,0.153846,0
0.208333,0.383562,0.492958,0,0.218182,0.149123,0.070175,0.316667,0.132653,0.53322,0.666667,0
0.125,0.136986,0.605634,0.143939,0.036364,0.105263,0.368421,0.183333,0.102041,0.465077,0.666667,0
0.125,0.232877,0.352113,0.227273,0.127273,0.157895,0.350877,0.25,0.153061,0.431005,0.153846,0
0.208333,0.315068,0.704225,0.318182,0.054545,0.175439,0.333333,0.3,0.142857,0.482112,0.666667,0
0.166667,0.520548,0.478873,0,0.327273,0.219298,0.157895,0.366667,0.112245,0.487223,0.666667,0
0.416667,0.246575,0.704225,0.174242,0.072727,0.219298,0.385965,0.35,0.142857,0.480409,0.666667,0
0.375,0.315068,0.43662,0.022727,0.236364,0.140351,0.140351,0.216667,0.091837,0.482112,0.666667,0
0.5,0.041096,0.211268,0.121212,0.181818,0.27193,0.192982,0.316667,0.214286,0.441227,0.666667,0
0.208333,0.465753,0.535211,0.060606,0.272727,0.333333,0.22807,0.383333,0.142857,0.536627,0.666667,0
0.375,0.39726,0.352113,0,0.163636,0.140351,0.175439,0.233333,0.081633,0.48552,0.666667,0
0.25,0.589041,0.478873,0.151515,0.309091,0.596491,0.45614,0.466667,0.387755,0.540034,0.153846,0
