AGE,W,PLUS_MINUS,W_RANK,W_PCT_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,STL_RANK,BLK_RANK,PLUS_MINUS_RANK,All_Star_Selection
0.333333,0.219178,0.49063,0.569948,0.466321,0.357143,0.599631,0.23741,0.417526,0.76311,0.695568,0.529801,0
0.583333,0.219178,0.50937,0.569948,0.015544,0.736264,0.732472,0.669065,0.707904,0.524412,0.759152,0.392384,0
0.125,0.287671,0.504259,0.466321,0.402418,0.725275,0.682657,0.735612,0.671821,0.509946,0.774566,0.432119,0
0.333333,0.767123,0.555366,0.039724,0.132988,0.315018,0.125461,0.607914,0.513746,0.549729,0.816956,0.142384,0
0.125,0.260274,0.408859,0.499136,0.713299,0.07326,0.577491,0.041367,0.049828,0.359855,0.157996,0.746689,0
0.333333,0.506849,0.551959,0.233161,0.186528,0.278388,0.068266,0.76259,0.469072,0.439421,0.753372,0.168874,0
0.25,0.671233,0.577513,0.081174,0.19171,0.195971,0.45203,0.473022,0.182131,0.083183,0.529865,0.084437,0
0.166667,0.315068,0.473595,0.433506,0.659758,0.188645,0.677122,0.03777,0.07732,0.417722,0.001927,0.629139,0
0.583333,0.191781,0.534923,0.594128,0.02418,0.545788,0.732472,0.296763,0.33677,0.687161,0.657033,0.240066,0
0.5,0.547945,0.522998,0.181347,0.321244,0.1337,0.107011,0.642086,0.568729,0.25859,0.55684,0.316225,0
0.5,0.273973,0.480409,0.481865,0.607945,0.771062,0.059041,0.591727,0.343643,0.455696,0.2158,0.602649,0
0.416667,0.671233,0.592845,0.081174,0.17962,0.283883,0.236162,0.528777,0.328179,0.148282,0.7842,0.044702,0
0.125,0.232877,0.49063,0.542314,0.172712,0.663004,0.309963,0.77518,0.683849,0.754069,0.493256,0.536424,0
0.083333,0.753425,0.565588,0.046632,0.15544,0.086081,0.138376,0.503597,0.309278,0.101266,0.427746,0.107616,0
0.208333,0.205479,0.492334,0.578584,0.537133,0.327839,0.594096,0.285971,0.285223,0.202532,0.092486,0.513245,0
