W,MIN,FGM,FG3M,AST,STL,BLK,PLUS_MINUS,PLUS_MINUS_RANK,All_Star_Selection
0.39726,0.297921,0.13913,0.056604,0.051282,0.1,0.081081,0.497445,0.485099,0
0.178082,0.69746,0.391304,0.207547,0.461538,0.433333,0.027027,0.463373,0.67053,0
0.534247,0.203233,0.06087,0.018868,0.094017,0.066667,0.027027,0.53322,0.251656,0
0.849315,0.898383,0.565217,0.264151,0.239316,0.333333,0.162162,0.632027,0.014901,0
0.109589,0.371824,0.165217,0.132075,0.162393,0.1,0.081081,0.471891,0.635762,0
0.123288,0.224018,0.052174,0,0.017094,0.033333,0.054054,0.470187,0.642384,0
0.09589,0.394919,0.173913,0.113208,0.136752,0.2,0.027027,0.448041,0.713576,1
0.835616,0.69515,0.478261,0.358491,0.418803,0.5,0.108108,0.638842,0.009934,0
0.630137,0.732102,0.391304,0,0.213675,0.3,0.459459,0.551959,0.167219,0
0.589041,0.581986,0.365217,0,0.076923,0.166667,0.297297,0.528109,0.288079,0
0.60274,0.561201,0.330435,0.320755,0.102564,0.166667,0.027027,0.541738,0.216887,0
0.013699,0.163972,0,0,0.08547,0.1,0,0.574106,0.09106,0
0.438356,0.598152,0.173913,0,0.179487,0.233333,0.432432,0.531516,0.269868,0
0.027397,0.101617,0.043478,0,0,0,0.081081,0.449744,0.710265,1
0.506849,0.556582,0.417391,0.226415,0.153846,0.3,0.027027,0.495741,0.495033,0
0.712329,0.517321,0.191304,0.226415,0.213675,0.366667,0.027027,0.586031,0.059603,0
0.013699,0.441109,0.130435,0.037736,0.145299,0.4,0,0.502555,0.43543,0
0.506849,0.43649,0.2,0.018868,0.111111,0.266667,0.108108,0.522998,0.317881,0
0.452055,0.26097,0.2,0,0.042735,0.033333,0.081081,0.536627,0.231788,0
0.09589,0.545035,0.286957,0.226415,0.102564,0.2,0.054054,0.429302,0.731788,0
0.465753,0.658199,0.330435,0.113208,0.119658,0.166667,0.108108,0.512777,0.38245,0
0.493151,0.438799,0.217391,0.113208,0.111111,0.233333,0.108108,0.529813,0.27649,0
0.657534,0.496536,0.226087,0.301887,0.076923,0.133333,0.081081,0.589438,0.054636,1
